Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,129.159000,-46.355000,270.000000,bottom
C2,1u,C_0603_1608Metric,129.159000,-42.545000,90.000000,bottom
R1,100,R_0603,141.605000,-46.355000,90.000000,bottom
R2,100,R_0603,141.605000,-42.545000,90.000000,bottom
R3,100,R_0603,131.572000,-51.943000,270.000000,bottom
R4,100,R_0603,141.732000,-51.943000,270.000000,bottom
R5,100,R_0603,136.652000,-54.737000,90.000000,bottom
R6,100,R_0603,131.572000,-54.737000,90.000000,bottom
R7,100,R_0603,129.032000,-54.737000,90.000000,bottom
R8,100,R_0603,134.112000,-51.943000,270.000000,bottom
R9,100,R_0603,139.192000,-54.737000,90.000000,bottom
R10,100,R_0603,134.112000,-54.737000,90.000000,bottom
U1,TM3130,SOIC-16_3.9x9.9mm_Pitch1.27mm,135.382000,-44.450000,0.000000,bottom
